NovelID,AuthorID,Sex,SexualOrientation,Author,Nationality,Born,PublicationYear,Age,Novel,Language,Original_Language,Filename,Segment,WordCount,AnalyticalThinking,Clout,Authentic,Tone,WordsPerSentence,SixLetters,Dictionary,FunctionWords,pronoun,PersonalPronouns,i,we,you,SheHe,they,ImpersonalPronouns,article,preposition,AuxiliaryVerb,adverb,conjunction,negation,verb,adjective,comparison,interrogative,number,quantifier,affect,PositiveEmotion,NegativeEmotion,anxiety,anger,sad,social,family,friend,female,male,CognitiveProcesses,insight,cause,discrepancies,tentative,certainty,differentiation,PerceptualProcesses,see,hear,feel,BiologicalProcesses,body,health,sexual,ingest,drives,affiliation,achievement,power,reward,risk,focuspast,focuspresent,focusfuture,relativity,motion,space,time,work,leisure,home,money,religion,death,informal,swear,netspeak,assent,nonfluencies,FillerWords,AllPunc,Period,Comma,Colon,SemiC,QMark,Exclam,Dash,Quote,Apostrophe,Parenthesis,OtherPunctuation
11,7,male,heterosexual,Barry Unsworth,British,1930,1992,62,Sacred Hunger,English,English,1930-1992-62 England_Male_Unsworth_Sacred Hunger_1992.docx,1,229088,79.87,80.2,10.83,31.21,16.21,16.42,83.92,54.28,14.24,9.68,1.41,0.44,1.12,5.59,1.13,4.53,8.66,15.13,7.5,3.95,5.31,1.56,15.12,4.17,2.17,1.23,1.08,1.69,4.14,2.2,1.88,0.35,0.5,0.48,12.75,0.3,0.19,0.99,5.75,9.52,2.11,1.05,1.32,2.27,1.24,2.77,4.56,1.9,1.54,0.86,2.74,1.59,0.53,0.09,0.56,5.54,1.1,0.89,2.51,1.01,0.47,7.72,5.78,0.86,14.2,2.11,7.97,4.43,1.1,0.56,0.28,0.66,0.23,0.25,0.48,0.07,0.2,0.09,0.13,0.01,18.36,5.81,6.4,0.11,0.22,0.47,0.02,0.53,1.73,3.06,0,0
12,8,male,heterosexual,V. S. Naipaul,British,1932,1971,39,In a Free State,English,English,1932-1971-39 Trinidad-England_Male_Naipaul_In a Free State_1971.docx,1,46000,79.37,75.79,36.13,23.13,11.03,15.38,83.89,52.4,13.24,9.2,1.92,0.39,1.34,4.12,1.43,4.03,10.15,13.31,7.43,4.52,5.58,1.72,16.66,4.55,1.87,1.11,1.23,1.35,3.6,1.68,1.85,0.39,0.41,0.54,11.27,0.07,0.08,0.84,4.08,7.7,1.69,0.75,0.88,1.65,1.11,2.33,6.03,2.93,1.77,1.12,2.72,1.65,0.43,0.08,0.74,5,0.85,0.61,2.6,0.66,0.45,9.14,5.71,1,17.93,3.12,10.42,4.83,1.02,1,0.75,0.27,0.07,0.2,0.3,0.04,0.02,0.08,0.17,0.01,24.96,8.51,6.35,0.26,0.87,0.52,0.08,0.9,2.6,4.82,0,0.05
13,9,male,heterosexual,David Storey,British,1933,1973,40,A Temporary Life,English,English,1933-1973-40 England_Male_Storey_A Temporary Life_1973.docx,1,71529,73.17,81.22,39.57,33.06,8.85,13.33,87.61,55.47,18.94,14.58,4.86,0.63,2.05,6.39,0.64,4.33,9.89,14.36,8.18,3.99,3.49,1.5,18.11,3.5,2.08,1.08,1.14,1.9,2.74,1.57,1.15,0.33,0.24,0.31,14.78,0.27,0.06,3.88,3.54,8.09,1.75,0.6,1.2,2.77,1.01,2.15,6.19,2.83,2.3,1.01,3.27,1.93,0.61,0.04,0.81,5.42,1.12,0.74,2.42,1.25,0.21,2.73,13.58,1.42,18.25,3.27,10.75,4.85,1.04,0.73,1.54,0.18,0.09,0.09,0.31,0.1,0.02,0.06,0.14,0,38.2,10.13,9.15,0.49,0.81,1.18,0.02,0.66,5.83,9.93,0,0
14,9,male,heterosexual,David Storey,British,1933,1976,43,Saville,English,English,1933-1976-43 England_Male_Storey_Saville_1976.docx,1,200678,75.13,91.22,20.19,30.49,12.07,14.39,87.55,55.05,16.65,12.87,1.83,0.45,1.7,7.75,1.14,3.77,9.07,15.08,7.49,4.31,5.2,1.52,17.74,3.75,2.24,1.51,1.23,2.02,2.71,1.47,1.19,0.32,0.24,0.32,17.12,1.19,0.07,2.24,7.49,7.91,1.45,0.66,1.45,2.41,0.96,2.34,5.67,2.13,2.67,0.82,2.57,1.6,0.4,0.03,0.55,5.93,1.1,0.74,2.83,1.28,0.28,8.59,6.65,1.5,19.57,3.45,10.81,6,1.59,0.76,1.28,0.25,0.12,0.08,0.51,0.04,0.06,0.11,0.3,0,29.94,7.29,9.31,0.33,0.49,0.99,0.03,0.54,3.93,7.03,0,0
15,10,male,heterosexual,Howard Jacobson,British,1942,2004,62,The Making of Henry,English,English,1942-2004-62 England_Male_Jacobson_The Making of Henry_2004.docx,1,111608,50.99,81.97,8.05,33.63,12.09,15.51,86.14,56.66,17.36,11.5,1.48,0.25,1.96,6.79,1.02,5.82,6.94,13.79,9.52,5.15,6.02,2.85,17.39,3.96,2.33,2.46,1,1.84,4.63,2.53,2.07,0.44,0.55,0.55,15.58,1.07,0.19,2.73,5.76,12.34,2.59,1.34,1.75,2.37,1.71,4.16,3.31,1.2,1.08,0.86,2.71,1.44,0.55,0.19,0.45,4.78,1.22,0.75,1.89,0.89,0.46,4.85,9.93,1.07,12.9,1.88,6.84,4.38,1.2,0.69,0.49,0.42,0.32,0.44,0.68,0.17,0.07,0.18,0.23,0.07,24.16,6.91,7.62,0.06,0.07,1.26,0.2,0.55,2.03,5.29,0.13,0.02
16,10,male,heterosexual,Howard Jacobson,British,1942,2006,64,Kalooki Nights,English,English,1942-2006-64 England_Male_Jacobson_Kalooki Nights_2006.docx,1,157806,51.5,69.51,20.2,29.4,13.86,16.54,86.5,57.82,18.34,12.69,4.08,0.81,1.6,4.98,1.22,5.63,6.96,14.28,9.47,4.67,6.04,2.71,17.05,3.89,2.4,2.4,1.12,1.88,4.4,2.29,2.07,0.4,0.67,0.43,13.86,0.99,0.14,2.34,3.91,12.36,2.5,1.36,1.86,2.41,1.57,4.16,3.18,1.26,1.02,0.68,2.42,1.34,0.45,0.24,0.35,5.17,1.79,0.75,1.72,0.83,0.45,7.53,6.57,0.85,12.08,1.68,6.49,4.07,0.99,0.93,0.46,0.36,1.26,0.33,0.59,0.2,0.03,0.12,0.18,0.06,20.52,6.19,6.34,0.07,0.08,0.94,0.19,0.6,1.69,4.23,0.16,0.03
17,11,male,heterosexual,John Banville,Irish,1945,1971,26,Nightspawn,English,English,1945-1971-26 Ireland_Male_Banville_Nightspawn_1971.docx,1,63192,75.22,60.5,49.78,25.83,11.2,14.48,85.69,55.04,17.18,12.76,5.87,0.65,1.23,4.39,0.61,4.37,9.19,13.94,6.04,3.86,5.45,1.57,15.04,3.57,1.19,1.4,0.94,1.2,4.31,2.14,2.14,0.45,0.49,0.66,10.41,0.14,0.13,1.2,3.78,7.56,1.91,0.66,1,1.59,1.03,2.08,6.05,2.55,1.91,1.31,3.98,2.87,0.58,0.1,0.56,4.82,1.23,0.64,2.18,0.67,0.36,7.9,5.18,0.8,16.49,3.06,9.76,4.17,0.65,0.83,0.81,0.24,0.2,0.27,0.74,0.11,0.08,0.3,0.3,0.01,24.54,8.1,9.31,0.02,0.1,1.01,0,0.21,2.45,3.22,0.1,0.01
18,11,male,heterosexual,John Banville,Irish,1945,1989,44,The Book of Evidence,English,English,1945-1989-44 Ireland_Male_Banville_The Book of Evidence_1989.docx,1,71940,68.5,44.14,60.08,23.72,15.72,16.13,86.42,57.02,16.83,12.08,6.78,0.46,0.34,3.69,0.81,4.72,8.62,14.22,7.33,4.49,6.38,1.57,15.19,4.24,1.89,1.42,0.86,1.28,4.4,2.1,2.23,0.59,0.42,0.58,8.86,0.31,0.15,1.91,2.52,9.63,2.28,0.8,1.46,2.55,1.33,2.71,4.88,2.06,1.45,1.09,3.15,1.96,0.62,0.08,0.59,4.54,0.89,0.59,2.15,0.67,0.46,8.03,4.8,0.82,15.91,2.33,9.29,4.7,0.75,0.74,0.84,0.38,0.2,0.19,0.45,0.07,0.03,0.15,0.2,0.03,17.6,5.87,9.66,0.14,0,0.36,0.18,0.59,0,0.69,0.1,0
19,12,male,heterosexual,Julian Barnes,British,1946,1980,34,Metroland,English,English,1946-1980-34 England_Male_Barnes_Metroland_1980.docx,1,50403,61.52,59.04,53.26,41.1,13.95,17.39,85.19,53.69,15.61,10.5,4.49,1.18,1.93,2.24,0.66,5.1,7,14.05,8.36,5.14,6.07,2.26,16.37,4.8,2.59,1.86,1.45,2.41,5.05,2.9,2.05,0.45,0.69,0.4,9.91,0.45,0.14,1.31,1.57,12.7,2.76,1.42,1.71,3.17,1.63,3.73,3.05,1.31,0.81,0.82,2.55,1.25,0.47,0.38,0.49,6.19,2.07,1.1,2.12,1.1,0.41,6.78,6.66,0.95,14.45,2.07,7.67,4.97,1.65,1,0.47,0.37,0.29,0.2,0.97,0.25,0.06,0.21,0.4,0.06,25.99,6.19,7.47,0.36,1.06,1.25,0.05,1.21,2.2,5.14,1,0.06
20,12,male,heterosexual,Julian Barnes,British,1946,1984,38,Flaubert's Parrot,English,English,1946-1984-38 England_Male_Barnes_Flaubert_s Parrot_1984.docx,1,62408,75.7,67.31,17.29,35.99,15.06,20.04,81.28,52.04,14.02,9.06,2.8,0.54,0.99,3.75,0.98,4.95,8.64,13.67,7.62,4.24,5.53,1.65,14.03,4.53,2.47,1.69,2.15,1.85,4.75,2.64,2.06,0.35,0.58,0.48,10.59,0.4,0.21,1.25,3.31,10.57,2.32,1.13,1.54,2.5,1.49,3.12,2.49,1.27,0.55,0.55,2.42,0.89,0.82,0.2,0.45,5.41,1.55,1.07,2.12,0.78,0.47,5.05,7.24,0.84,12.39,1.64,6.36,4.62,1.93,1.04,0.37,0.43,0.31,0.43,0.46,0.08,0.05,0.14,0.21,0.01,20.38,5.75,6.22,0.81,1.19,0.89,0.14,0.8,0.92,2.78,0.83,0.06
21,13,male,heterosexual,James Kelman,Scottish,1946,1985,39,A Chancer,English,English,1946-1985-39 Scotland_Male_Kelman_A Chancer_1985.docx,1,110387,70.39,83.49,18.56,31.86,9.1,13.3,84.26,53.67,16.55,12.34,2.21,0.32,2.04,7.03,0.75,4.2,9.04,13.33,6.97,4.2,6.01,1.65,16.95,3.83,1.5,1.24,1.83,1.45,4.29,2.32,1.96,0.36,1.02,0.33,14.13,0.27,0.17,1.77,6.35,6.24,1.17,0.59,0.83,1.65,0.8,1.95,4.08,1.67,1.57,0.74,3.72,1.75,0.46,0.69,1.09,4.59,0.81,0.76,1.75,1.5,0.32,7.78,6.36,1.36,18.17,3.32,10.11,5.3,0.74,1.21,0.85,0.72,0.22,0.02,2.19,0.94,0.57,0.39,0.39,0.05,20.51,9.65,4.26,0.55,0.45,1.25,1.18,0.13,0,2.74,0,0.3
22,14,male,heterosexual,Jim Crace,British,1946,1994,48,Signals of Distress,English,English,1946-1994-48 England_Male_Crace_Signals of Distress_1994.docx,1,82666,66.9,81.09,4.07,41.43,11.25,14.08,82.32,54.19,14.43,10.8,1.09,0.4,0.96,6.67,1.67,3.62,8.48,13.27,8.94,3.83,6.71,2.23,16.32,3.66,1.76,1.28,1.21,1.54,3.83,2.33,1.46,0.36,0.24,0.43,14.06,0.45,0.26,2.54,5.59,8.99,1.33,0.76,2.04,2.18,0.84,3.23,4.14,1.36,1.13,1.39,3.37,2.07,0.46,0.07,0.79,5.16,1.28,0.78,2.19,0.92,0.39,7.55,5.62,1.26,13.6,2.4,7.72,3.78,0.82,0.94,0.74,0.54,0.49,0.19,0.38,0.06,0.06,0.08,0.19,0.01,22.22,8.13,5.97,0.11,0.08,0.75,0.21,0.51,1.67,4.61,0.12,0.05
23,13,male,heterosexual,James Kelman,Scottish,1946,1994,48,"How Late It Was, How Late",English,English,"1946-1994-48 Scotland_Male_Kelman_How Late It Was, How Late_1994.docx",1,118806,36.43,83.59,7.98,10.44,10.87,12.16,86.82,55.8,19.97,12.43,2.16,0.32,3.2,5.43,1.31,7.5,7.19,10.45,9.73,5.9,6.06,1.34,19.91,4.62,1.54,1.97,0.85,1.65,6.25,2.5,3.72,0.27,2.54,0.28,14.6,0.14,0.48,0.73,5.94,10.22,2.31,1.15,2,2.52,1.34,2.54,3.49,1.18,1.37,0.83,4.28,1.5,0.61,1.74,0.45,5.24,0.84,0.75,1.65,1.84,0.61,7.7,9.33,1.21,12.99,2.22,6.91,4.23,0.84,0.72,0.48,0.32,0.39,0.1,3.54,2.3,0.42,0.49,0.37,0.07,19.66,7.98,5.2,0.27,1.21,1.2,0.39,0.34,0.01,3.04,0.02,0
24,14,male,heterosexual,Jim Crace,British,1946,1999,53,Being Dead,English,English,1946-1999-53 England_Male_Crace_Being Dead_1999.docx,1,58987,74.37,77.93,5.51,29.86,12.99,16.33,84.08,53.72,12.65,9.36,0.21,0.2,0.27,6.51,2.17,3.27,9.11,13.77,8.52,4.23,7.05,1.78,14.53,4.55,2.16,1.15,1.5,1.56,3.89,2.05,1.8,0.43,0.4,0.48,12.52,0.6,0.22,4.18,3.17,9.33,1.4,0.88,1.79,2.43,1.05,3.25,4.06,1.36,1.12,1.26,4.42,2.51,0.82,0.23,0.98,4.6,1.17,0.92,1.84,0.74,0.41,7.59,4.17,0.85,14.85,2.16,7.92,5.05,1.42,1.16,1.04,0.31,0.16,0.76,0.22,0.05,0,0.06,0.09,0.02,19.14,7.41,6.7,0.07,0.08,0.34,0.04,0.73,0.71,2.89,0.16,0.01
25,15,male,heterosexual,Salman Rushdie,British-American,1947,1981,34,Midnight's Children,English,English,1947-1981-34 England-India_Male_Rushdie_Midnight_s Children_1981.docx,1,214744,81.31,68.82,31.65,22.44,23.94,19.29,81.83,50.93,12.85,8.66,3.27,0.55,0.76,3.28,0.79,4.18,8.15,14.65,6.42,3.87,6.34,1.37,12.68,3.95,1.93,2.01,1.35,1.33,4.47,2.1,2.31,0.41,0.66,0.54,10.67,1.2,0.16,2.09,2.88,8.18,1.8,1.14,0.91,1.41,1.38,2.34,3.79,1.5,1.07,0.8,3.19,1.82,0.79,0.13,0.5,6.11,1.47,0.91,2.93,0.77,0.5,5.73,5.27,0.78,14.92,2.06,7.85,5.16,1.14,0.86,0.58,0.45,0.7,0.39,0.49,0.1,0.13,0.14,0.1,0.01,22.16,3.67,8.51,0.58,1.59,0.64,0.65,2.15,1.16,2.58,0.61,0.01
26,16,male,heterosexual,Ian McEwan,British,1948,1981,33,The Comfort of Strangers,English,English,1948-1981-33 England_Male_McEwan_The Comfort of Strangers_1981.docx,1,36081,81.77,80.7,25.66,34.42,15.12,18.37,84.29,51.64,13.36,9.96,1.62,0.44,0.62,5.24,2.04,3.38,8.45,14.79,5.79,4,6.82,1.09,13.93,4.78,2.13,1.27,1.27,1.71,3.57,2.01,1.51,0.4,0.31,0.4,12.65,0.56,0.13,3.03,3.17,7.2,1.45,0.88,0.79,1.53,1.02,2.32,5.52,2.23,1.68,1.51,4.35,2.7,0.52,0.11,1.05,4.93,1.31,0.79,2.06,0.69,0.38,8.78,3.51,0.69,17.73,2.85,10.21,5.25,0.77,1.22,1.15,0.31,0.09,0.1,0.27,0.02,0.04,0.08,0.13,0.01,19.76,6.24,7.52,0.03,0.25,0.37,0.09,0.62,1.78,2.83,0.02,0
27,16,male,heterosexual,Ian McEwan,British,1948,1992,44,Black Dogs,English,English,1948-1992-44 England_Male_McEwan_Black Dogs_1992.docx,1,49830,75.77,70.26,39.05,30.16,15.78,18.03,85.32,55.17,15.21,10.55,3.56,0.92,0.74,4.14,1.19,4.65,8.8,14.88,7.48,4.32,5.98,1.42,14.65,4.23,1.97,1.54,1.56,1.36,4.39,2.3,2.03,0.45,0.55,0.53,11.21,0.53,0.2,2.93,1.92,9.12,2.1,1.09,1.36,1.81,1.23,2.53,3.31,1.38,0.87,0.89,2.53,1.25,0.56,0.11,0.61,6,2.05,0.94,2.19,0.78,0.39,8.32,4.35,0.79,16.63,2.24,8.98,5.78,1.05,0.8,0.67,0.33,0.24,0.26,0.25,0.05,0.01,0.07,0.12,0.02,16.61,6.13,6.21,0.04,0.17,0.35,0.12,0.65,0.82,2.08,0.04,0
28,17,male,heterosexual,Graham Swift,British,1949,1983,34,Waterland,English,English,1949-1983-34 England_Male_Swift_Waterland_1983.docx,1,112555,76.09,69.7,25.1,27.1,15.58,18.68,81.63,52.46,12.99,7.1,1.19,0.71,0.82,3.53,0.84,5.87,8.43,14.33,6.6,4.71,7.06,1.97,12.69,4.02,2.05,2.22,1.53,1.7,3.58,1.81,1.73,0.37,0.39,0.45,10.35,1.08,0.09,1.42,3.47,9.94,1.96,1.4,1.14,2.07,1.47,3.23,2.7,1.28,0.67,0.62,2.73,1.51,0.52,0.38,0.61,5.74,1.51,0.84,2.45,0.83,0.52,3.63,7.66,1.06,15.27,2.11,7.66,5.75,1.41,0.61,0.48,0.51,0.31,0.41,0.69,0.34,0.06,0.18,0.1,0.01,22.02,6.27,7.45,0.3,0.44,0.87,0.1,1.63,0.72,3.01,1.23,0.01
29,17,male,heterosexual,Graham Swift,British,1949,1996,47,Last Orders,English,English,1949-1996-47 England_Male_Swift_Last Orders_1996.docx,1,82488,35.87,63.49,44.41,38.25,12.68,9.86,87.46,58.6,19.32,13.31,4.95,0.99,1.93,4.83,0.6,5.98,6.77,13.48,10.07,5.45,7.74,3.22,21.04,3.94,2.87,1.68,1.36,1.97,2.83,1.76,1.06,0.15,0.36,0.23,13.09,0.37,0.07,1.44,4.19,11.96,2.07,1.11,2.01,2.57,1.71,4.25,5.34,2.21,2.2,0.87,2.14,1.31,0.42,0.06,0.44,5.73,1.4,0.74,2.19,1.49,0.32,5.22,12.37,1.52,15.72,2.63,8.4,5.08,0.63,0.64,0.42,0.61,0.1,0.25,0.52,0.13,0.13,0.06,0.11,0.07,27.05,7.11,8.95,0.1,0,0.8,0.02,0.64,1.73,7.69,0,0.01
