"ID","Gender","Age","Afraid","Angry","Attractive","Babyface","Disgusted","Dominant","Feminine","Happy","Masculine","Prototypic","Sad","Surprised","Threatening","Trustworthy","Unusual","Nose_Width","Nose_Length","FaceRoundness","Noseshape"
18,"F",19.70833333,1.875,1.333333333,3.833333333,4.125,1.695652174,1.739130435,4.833333333,2.583333333,1.416666667,1.510638298,2.782608696,1.666666667,1.333333333,3.5,2.125,238.5,203.5,0.500437063,1.171990172
19,"F",24.03571429,1.642857143,1.678571429,4.678571429,3.142857143,1.607142857,2.321428571,5.714285714,2.857142857,1.321428571,3.106382979,1.607142857,1.5,1.571428571,4.25,1.785714286,238,252,0.484303056,0.944444444
20,"F",25.10714286,1.392857143,1.571428571,2.928571429,3.214285714,1.464285714,1.607142857,4.964285714,1.892857143,1.357142857,2.85106383,2.464285714,1.37037037,1.285714286,3.571428571,1.857142857,208,272.5,0.419701987,0.763302752
21,"F",25.26086957,2.173913043,2.043478261,3.173913043,3.826086957,1.913043478,2.695652174,4.565217391,3.130434783,2.217391304,2.739130435,2.47826087,2.52173913,2.434782609,3.826086957,2.826086957,231,179,0.614736842,1.290502793
22,"F",25.62962963,1.62962963,1.592592593,3,3.222222222,1.5,2.230769231,4.074074074,3.444444444,2.407407407,2.043478261,1.730769231,1.769230769,1.481481481,3.814814815,2,232.5,198,0.56833825,1.174242424
23,"F",24.86206897,2.275862069,2.206896552,3.689655172,2.827586207,2.413793103,2.344827586,4.551724138,2.103448276,1.827586207,2.782608696,2.275862069,1.689655172,2.103448276,3.965517241,2.655172414,244.5,233.5,0.47805302,1.047109208
24,"F",44.80769231,2,1.777777778,3.185185185,1.518518519,1.666666667,2.407407407,4.692307692,1.846153846,1.37037037,3.595744681,2.538461538,1.730769231,1.333333333,3.777777778,1.740740741,263.5,247.5,0.466607302,1.064646465
25,"F",28.76,1.64,2.36,3.24,1.84,2.16,2.8,4.44,2.12,1.8,4.191489362,2.48,1.64,1.583333333,3.291666667,2.958333333,212.5,262,0.421779764,0.811068702
26,"F",22.14285714,2.482758621,2.142857143,3.034482759,2.793103448,2,1.931034483,4.655172414,2.034482759,1.655172414,3.565217391,3.275862069,1.586206897,1.551724138,3.535714286,1.75862069,233,217.5,0.455031167,1.071264368
27,"F",29.24,2.32,3.08,3.56,1.88,2.12,2.76,4.56,2,2.04,3.744680851,2.52,1.72,2.36,3.04,2.72,239,248.5,0.478145695,0.961770624
28,"F",27.11538462,1.769230769,1.88,3.92,2.576923077,1.769230769,2.384615385,5.115384615,3.269230769,1.653846154,2.106382979,2.12,1.846153846,1.653846154,4.038461538,2.230769231,239.5,216.5,0.455008489,1.106235566
29,"F",24.76923077,1.730769231,2,4.346153846,2.230769231,1.615384615,2.230769231,5.115384615,2.961538462,1.346153846,3.70212766,1.846153846,1.423076923,1.846153846,4.153846154,2.12,238,241.5,0.452248394,0.985507246
30,"F",25.85185185,1.666666667,1.740740741,4.37037037,2.518518519,1.37037037,2.296296296,4.925925926,2.777777778,1.333333333,2.659574468,1.925925926,1.518518519,1.518518519,3.962962963,2,249,268,0.441964286,0.929104478
31,"F",24.14814815,2.814814815,2.296296296,4.518518519,3.518518519,2.148148148,2.259259259,5.333333333,1.884615385,1.888888889,4,3.230769231,1.962962963,1.481481481,3.925925926,2.185185185,204,265,0.45840868,0.769811321
32,"F",46.58333333,1.625,2,2.347826087,1.166666667,2.208333333,2.083333333,3.25,1.625,1.666666667,2.978723404,3,1.333333333,1.5,3.333333333,1.666666667,201.5,260,0.438627365,0.775
33,"F",29.69230769,1.269230769,1.307692308,2.846153846,2.192307692,1.423076923,2.076923077,3.769230769,2.961538462,2.769230769,3.191489362,1.84,1.423076923,1.538461538,3.615384615,2.807692308,251.5,217,0.5,1.158986175
34,"F",22.39285714,2.107142857,2.178571429,4.035714286,3.192307692,1.821428571,2.178571429,5.178571429,2.607142857,1.642857143,2.723404255,2.392857143,1.888888889,1.857142857,3.555555556,2.285714286,212,245,0.43998254,0.865306122
35,"F",24.2962963,2.296296296,2.192307692,3.185185185,3.259259259,2.148148148,2.37037037,4.518518519,2.37037037,2.115384615,2.29787234,2.846153846,1.777777778,2.111111111,3.777777778,2.111111111,267.5,244.5,0.495852535,1.09406953
36,"F",23.5,1.576923077,1.346153846,4.192307692,3.653846154,1.423076923,2.153846154,5.5,2.923076923,1.307692308,3.042553191,1.96,1.230769231,1.346153846,4.269230769,2.269230769,223.5,225.5,0.500464253,0.99113082
37,"F",37.66666667,1.703703704,2.555555556,3.666666667,1.666666667,1.615384615,2.592592593,5,1.777777778,1.481481481,3.872340426,2.111111111,1.333333333,1.666666667,3.925925926,1.62962963,222.5,299.5,0.366208906,0.742904841
38,"F",30.51851852,2,2.518518519,4.555555556,2.62962963,2,2.740740741,5.185185185,2.62962963,1.62962963,2.191489362,2.37037037,1.814814815,2,3.615384615,2.222222222,213.5,292.5,0.443778802,0.72991453
39,"F",37.55555556,2.37037037,2,2.888888889,1.259259259,1.846153846,2.269230769,4.037037037,2,1.740740741,3.042553191,3.074074074,1.592592593,1.444444444,3.259259259,1.851851852,201.5,265.5,0.414132762,0.758945386
40,"F",28.2962963,1.592592593,1.703703704,4.148148148,1.962962963,1.555555556,2.259259259,5.222222222,3.769230769,1.5,2.574468085,1.703703704,1.703703704,1.407407407,3.884615385,2.296296296,214,272,0.408190225,0.786764706
41,"F",27.27586207,2.103448276,2.103448276,3.586206897,2.655172414,2.137931034,2.137931034,4.75,1.965517241,1.862068966,2.829787234,2.586206897,1.793103448,1.931034483,3.448275862,2.620689655,205,249.5,0.431560593,0.821643287
42,"F",31.875,2.208333333,2.333333333,2.958333333,2.125,1.869565217,2.375,4.916666667,2.086956522,1.791666667,2.826086957,3,1.708333333,2.304347826,3.541666667,2.416666667,244.5,240,0.507366483,1.01875
43,"F",27.03571429,1.464285714,2.535714286,4.964285714,2.357142857,1.928571429,2.678571429,5.518518519,1.928571429,1.321428571,3.404255319,2.035714286,1.346153846,1.678571429,3.642857143,2.428571429,211,257.5,0.458427987,0.819417476
44,"F",26.75862069,2.310344828,2.310344828,4.413793103,3,2.034482759,2.275862069,5.137931034,3.517241379,1.571428571,2.765957447,2.413793103,2.142857143,1.857142857,4.275862069,2.448275862,248.5,255.5,0.401818933,0.97260274
45,"F",29.20833333,1.583333333,1.583333333,4.666666667,2.434782609,1.375,2.375,5.458333333,4.416666667,1.318181818,3.319148936,1.695652174,1.708333333,1.583333333,4.5,2.041666667,225,279.5,0.449574182,0.805008945
46,"F",30.22222222,1.666666667,1.777777778,4.555555556,2.555555556,1.444444444,2.84,5.037037037,3.692307692,1.703703704,3.212765957,2.037037037,2,1.62962963,3.740740741,2.730769231,247.5,286.5,0.421121823,0.863874346
47,"F",25,1.407407407,1.333333333,3.615384615,2.740740741,1.37037037,2,4.740740741,3.962962963,1.962962963,4.260869565,1.653846154,1.481481481,1.37037037,3.925925926,2.423076923,222.5,265.5,0.406692407,0.838041431
48,"F",25.96428571,2.428571429,2.037037037,3.178571429,2.464285714,2.428571429,1.964285714,4.071428571,2.321428571,2,2.638297872,2.607142857,1.642857143,1.714285714,3.928571429,2.321428571,273.5,238,0.433436533,1.149159664
49,"F",34.17241379,1.517241379,1.448275862,4.137931034,1.551724138,1.482758621,2.379310345,5.464285714,3.344827586,1.413793103,2.744680851,1.586206897,1.586206897,1.310344828,3.931034483,2.137931034,241,243.5,0.43466784,0.98973306
50,"F",26,1.52,2.16,4.56,2.12,1.92,2.52,5.24,2.208333333,1.32,3.543478261,2.04,1.56,1.916666667,4.04,2.52,225,234.5,0.412912216,0.959488273
51,"F",25.10344828,2,1.931034483,3.964285714,3.137931034,1.827586207,2.172413793,4.892857143,2.620689655,1.551724138,1.914893617,1.931034483,1.862068966,1.75862069,3.689655172,2.586206897,253,242,0.440937782,1.045454545
52,"F",22.64285714,1.821428571,1.814814815,4.607142857,3.142857143,1.964285714,2.259259259,5.25,2.107142857,1.214285714,2.127659574,2.071428571,1.821428571,1.857142857,3.678571429,3.107142857,254,248.5,0.413219424,1.022132797
53,"F",22.34482759,1.896551724,1.655172414,4.206896552,3.137931034,1.75862069,1.931034483,5.586206897,3.482758621,1.655172414,2.553191489,2.034482759,1.827586207,1.551724138,4.464285714,2.482758621,250.5,276.5,0.428571429,0.90596745
54,"F",25.55172414,1.206896552,1.24137931,4.535714286,3.379310345,1.206896552,1.827586207,5.586206897,3.75862069,1.310344828,4.422222222,1.392857143,1.344827586,1.103448276,4.068965517,2.103448276,215.5,245,0.437966418,0.879591837
55,"F",37.12,1.708333333,2.333333333,3.84,2,1.84,2.24,5.4,2.56,1.36,2.765957447,2.04,1.76,1.8,3.4,2.16,206.5,261.5,0.414678073,0.789674952
56,"F",26,1.96,3.12,4.8,1.96,2.56,3.24,5.48,2.2,1.52,3.893617021,2.48,1.32,2.28,3.32,2.24,218,286,0.393041237,0.762237762
57,"F",24,1.545454545,1.954545455,3.454545455,3,1.454545455,1.681818182,4.409090909,1.909090909,1.285714286,2.787234043,1.863636364,1.409090909,1.590909091,2.954545455,1.772727273,224.5,236,0.39640411,0.951271186
58,"M",23.8,1.24,2.52,3.04,2.625,2.04,2.48,1.541666667,1.48,4,4.558139535,2.4,1.36,1.76,3.12,1.88,221,244,0.4527897,0.905737705
59,"M",26.22222222,1.846153846,2.888888889,2.777777778,2.296296296,2.296296296,2.730769231,1.538461538,1.592592593,4.074074074,3.348837209,2.259259259,1.576923077,2.37037037,3.148148148,2.037037037,221.5,227.5,0.50096432,0.973626374
60,"M",26.54166667,1.708333333,1.583333333,2.458333333,3.041666667,1.47826087,1.875,2.083333333,2.291666667,3.608695652,3.930232558,1.958333333,1.25,1.416666667,3.666666667,2,223.5,239,0.425925926,0.935146444
61,"M",23.91666667,1.833333333,1.625,3.041666667,3.625,1.347826087,2.041666667,2.130434783,2.695652174,3.608695652,2.279069767,1.916666667,1.916666667,1.458333333,3.75,1.833333333,235.5,233,0.450149765,1.010729614
62,"M",34.83333333,1.916666667,2.130434783,2.625,2.083333333,1.708333333,2.625,1.416666667,2.869565217,4.166666667,4.23255814,2,1.833333333,2.166666667,3.875,2.125,235.5,253.5,0.441768827,0.928994083
63,"M",26.92857143,1.785714286,2.678571429,2.285714286,2.428571429,2.107142857,3.111111111,1.428571429,2.142857143,4.607142857,3.333333333,1.964285714,1.785714286,2.678571429,2.821428571,2.214285714,263.5,220,0.487451737,1.197727273
64,"M",25.91666667,1.652173913,1.708333333,2.958333333,2.416666667,1.5,2.666666667,1.458333333,3.75,4.5,3.674418605,1.458333333,1.608695652,1.565217391,3.833333333,2.083333333,251.5,224.5,0.481035252,1.120267261
65,"M",23.32142857,1.428571429,1.535714286,2.964285714,2.392857143,1.75,1.925925926,1.464285714,1.740740741,4,2.348837209,2.178571429,1.142857143,1.785714286,2.892857143,1.642857143,236.5,257,0.420091324,0.920233463
66,"M",27.75,1.592592593,1.428571429,2.857142857,2.678571429,1.214285714,2.296296296,1.428571429,2.75,4.25,3.930232558,1.785714286,1.5,1.428571429,3.888888889,1.428571429,248,220.5,0.413524057,1.124716553
67,"M",21.04761905,2,2.25,3.80952381,3.7,1.952380952,2.428571429,2.285714286,2.619047619,4.19047619,4.581395349,2.571428571,1.714285714,2.238095238,4.476190476,2.476190476,229.5,250,0.410362219,0.918
68,"M",26.32142857,1.333333333,1.851851852,3.428571429,2.148148148,1.321428571,3.111111111,1.428571429,2.37037037,4.25,1.953488372,1.535714286,1.407407407,1.571428571,3.464285714,2.071428571,246,251,0.451892385,0.980079681
69,"M",25.55555556,1.925925926,3.222222222,1.846153846,3.307692308,2.259259259,3.222222222,1.259259259,2.296296296,4.703703704,1.88372093,2.037037037,1.653846154,2.925925926,2.814814815,2.555555556,247.5,187,0.441110614,1.323529412
70,"M",28.07142857,1.785714286,2.321428571,2.142857143,2.285714286,2.111111111,3.25,1.285714286,2.178571429,3.964285714,4.465116279,2.285714286,1.678571429,2.428571429,3.142857143,2.185185185,252,227.5,0.453199826,1.107692308
71,"M",29.22222222,1.925925926,2.259259259,3.888888889,2.592592593,1.814814815,3.222222222,1.925925926,2.851851852,4.62962963,1.511627907,2.259259259,1.666666667,2.444444444,3.407407407,2.925925926,235.5,217.5,0.471474213,1.082758621
72,"M",56.38461538,1.884615385,1.518518519,3.076923077,1.851851852,2.037037037,2.074074074,1.407407407,2.192307692,4.074074074,3.813953488,2.333333333,1.592592593,1.555555556,4.307692308,1.962962963,250.5,261.5,0.425669437,0.95793499
73,"M",28.48,1.24,1.72,4.12,2.875,1.52,3,1.6,3.24,4.68,2,1.48,1.32,1.76,3.88,1.68,238,244,0.46072839,0.975409836
74,"M",43,1.615384615,3.076923077,2.538461538,1.307692308,2.538461538,3.269230769,1.384615385,1.576923077,4.538461538,2.255813953,2.615384615,1.461538462,3.115384615,3,2.64,270.5,287,0.393575851,0.942508711
75,"M",33.59259259,1.25,1.357142857,3.214285714,1.964285714,1.535714286,2.357142857,1.25,2.857142857,4.148148148,3.023255814,1.392857143,1.464285714,1.392857143,3.464285714,1.642857143,277,241,0.506252895,1.149377593
76,"M",36.9,1.933333333,3.9,2.517241379,1.533333333,3.033333333,4.133333333,1.466666667,1.482758621,4.137931034,2.860465116,2.551724138,1.433333333,3.833333333,2.3,2.8,240.5,231,0.442245557,1.041125541
77,"M",23.79310345,1.793103448,2.862068966,2.344827586,2.75862069,2.357142857,2.642857143,1.344827586,1.655172414,4.137931034,2.581395349,2.344827586,1.482758621,2.379310345,2.862068966,2.275862069,258.5,230,0.405711886,1.123913043
78,"M",24.11538462,1.884615385,2.423076923,3.230769231,2.846153846,2.461538462,3.043478261,1.807692308,1.6,4.615384615,3.023255814,3.076923077,1.269230769,2.576923077,2.846153846,2.384615385,233,222,0.476915974,1.04954955
79,"M",21.92592593,1.740740741,1.962962963,2.222222222,2,1.62962963,1.740740741,1.259259259,2,3.56,3.11627907,2.148148148,1.814814815,1.555555556,3.185185185,1.962962963,227.5,234,0.40837249,0.972222222
80,"M",28.96,1.48,3.04,1.52,2.04,2.8,2.708333333,1.48,1.52,3.6,3.11627907,3.2,1.4,1.84,2.88,3.76,237.5,177,0.531170806,1.34180791
81,"M",24.68,1.92,2.08,3.52,2.84,2.04,2.72,1.48,2.28,4.64,2.372093023,2.25,1.52,2.08,3.6,1.68,252.5,227.5,0.462351387,1.10989011
82,"M",46.81818182,1.909090909,2.590909091,1.80952381,2.090909091,1.818181818,3.590909091,1.272727273,2.045454545,4.681818182,3.465116279,2.727272727,1.409090909,2.136363636,3.409090909,1.636363636,247.5,241.5,0.480057665,1.02484472
83,"M",41.42307692,1.4,2.076923077,2.384615385,1.538461538,1.384615385,3,1.038461538,1.884615385,4.730769231,4,1.807692308,1.2,1.88,2.769230769,1.692307692,231.5,241.5,0.423751687,0.958592133
84,"M",25.32142857,1.642857143,2.222222222,3.428571429,2.642857143,1.821428571,2.678571429,1.535714286,2.535714286,4.214285714,3.744186047,2.259259259,1.571428571,1.851851852,3.464285714,2.357142857,250,255,0.40463692,0.980392157
85,"M",24.76923077,1.884615385,1.846153846,3.48,2.307692308,1.884615385,2.884615385,1.538461538,3,4.576923077,4.19047619,2.24,1.52,2.461538462,3.192307692,2.615384615,219.5,261.5,0.369098712,0.839388145
86,"M",28.95454545,1.782608696,2.652173913,2.173913043,2.695652174,2.434782609,2.904761905,1.739130435,2.043478261,4.434782609,3.744186047,2.130434783,1.47826087,2.47826087,3.086956522,2.260869565,246,196.5,0.485827946,1.251908397
87,"M",26.93103448,1.24137931,1.25,3.571428571,2.689655172,1.275862069,2.25,1.379310345,4.068965517,4.448275862,2.488372093,1.413793103,1.586206897,1.620689655,3.862068966,2.034482759,246.5,230.5,0.420098847,1.069414317
88,"M",27.30769231,2.230769231,3.115384615,2.16,2.192307692,2.038461538,2.5,1.153846154,1.615384615,4.230769231,2.186046512,2.730769231,1.461538462,2.615384615,3,2.384615385,250.5,243.5,0.428184282,1.028747433
89,"M",41.17857143,1.464285714,1.392857143,1.857142857,1.714285714,1.357142857,2.5,1.153846154,2.428571429,3.964285714,2.837209302,1.75,1.5,1.928571429,3.178571429,2.607142857,251.5,214,0.421434327,1.175233645
90,"M",27.26923077,1.538461538,2,2.692307692,2.04,2.153846154,2.576923077,1.653846154,2.384615385,4.192307692,3.162790698,1.72,1.653846154,2.038461538,3.307692308,2.538461538,248.5,249.5,0.413061917,0.995991984
91,"M",35.16,1.84,1.958333333,2.36,3.04,1.84,2.84,1.52,2.083333333,4.72,1.186046512,2.32,1.416666667,2.2,3.4,2.12,241,217.5,0.45574217,1.108045977
92,"M",31.75,1.892857143,1.464285714,2.888888889,2.607142857,1.571428571,2.464285714,1.428571429,2.321428571,4.392857143,2.604651163,2.178571429,1.821428571,1.5,3.62962963,1.892857143,276.5,234.5,0.449764857,1.179104478
93,"M",29.44,2.653846154,2,3.269230769,2.230769231,2.692307692,2.615384615,2,2.307692308,4.038461538,3.651162791,2.576923077,2.038461538,1.923076923,3.423076923,2.615384615,220.5,263.5,0.447741364,0.836812144
94,"M",27.42307692,2.153846154,2.64,3.12,2.269230769,2.038461538,3.153846154,1.769230769,2.038461538,4.291666667,4.255813953,2.730769231,1.961538462,2.269230769,3.576923077,2.153846154,238,236,0.436600719,1.008474576
95,"M",35.6,1.72,2.32,3.24,2.16,2.08,2.92,1.92,2.16,4.625,4.093023256,2.04,1.76,2.16,3.64,2.92,255,273,0.393535354,0.934065934
96,"M",34.42307692,1.28,1.576923077,2.36,2.346153846,1.384615385,2.04,1.384615385,2.192307692,3.625,3.813953488,1.961538462,1.307692308,1.538461538,3,1.730769231,218.5,206,0.377564979,1.060679612
97,"M",37.38461538,1.576923077,1.538461538,3.538461538,2,1.5,3.576923077,1.576923077,3.730769231,4.807692308,3.209302326,1.72,2.28,1.423076923,4.153846154,2.153846154,237.5,288,0.434065934,0.824652778
98,"M",29.36,1.16,1.2,2.4,2.24,1.44,2.041666667,1.48,2.64,3.96,3.720930233,1.56,1.24,1.16,4.16,2.12,268.5,276,0.388302193,0.972826087
99,"M",23.88,1.92,1.88,3.68,3.28,1.92,2.2,1.96,2.72,4,1.76744186,2.04,1.72,1.791666667,3.36,2.24,218,286,0.446902655,0.762237762
100,"M",25.67857143,2.035714286,1.964285714,2.678571429,2.142857143,1.714285714,2.464285714,1.464285714,2,4.142857143,1.465116279,2.518518519,1.518518519,2.142857143,2.814814815,4.75,237,208,0.439400428,1.139423077
101,"M",25.73076923,1.807692308,2,3.6,2.307692308,1.28,2.6,1.28,2.28,4.038461538,2.209302326,2.153846154,1.269230769,1.307692308,3.538461538,1.5,255,254.5,0.404894805,1.001964637
102,"M",29.07142857,1.607142857,1.642857143,3.074074074,2.925925926,1.678571429,2.607142857,1.892857143,2.892857143,4.107142857,2.860465116,2.037037037,1.518518519,1.321428571,3.75,2.142857143,236,245,0.448545376,0.963265306
103,"M",35.875,2.791666667,2.217391304,2.375,3.083333333,2.458333333,2.391304348,1.666666667,2.130434783,4.333333333,1.697674419,4.333333333,1.875,2,3.041666667,2.25,231.5,220.5,0.475123263,1.049886621
104,"M",33.84615385,1.192307692,1.458333333,2.846153846,1.423076923,1.384615385,2.576923077,1.538461538,2.307692308,4.423076923,3.255813953,1.692307692,1.538461538,1.92,3.538461538,2.230769231,281,282,0.432893055,0.996453901
105,"M",23.66666667,1.333333333,2.375,2.541666667,2.833333333,1.958333333,2.833333333,1.791666667,1.541666667,3.583333333,3.069767442,2.25,1.458333333,2.166666667,2.541666667,2.333333333,234,239,0.477782868,0.979079498
106,"M",25.88461538,2.153846154,2.730769231,3.076923077,2.64,2.423076923,2.807692308,2.038461538,2.461538462,4.52,2.209302326,2.461538462,1.92,2.307692308,3.384615385,2.16,217.5,216,0.441829485,1.006944444
107,"M",28.65384615,1.5,4.038461538,2.461538462,1.576923077,2.846153846,3.346153846,1.153846154,1.538461538,4.88,3.627906977,2.038461538,1.16,3.192307692,2.961538462,2,237.5,253,0.449050086,0.938735178
108,"M",23.32,1.76,2.08,2.64,2.4,1.72,2.84,1.92,1.76,3.48,3.441860465,2.4,1.56,2.16,3.48,2.2,231.5,246,0.469436485,0.941056911
109,"M",25.03448276,1.689655172,2.068965517,3.862068966,2.655172414,1.448275862,2.827586207,1.586206897,3.035714286,4.344827586,2.534883721,1.535714286,1.5,1.896551724,3.827586207,2.137931034,268.5,247.5,0.417726887,1.084848485
110,"F",28.49438202,2.078651685,2.348314607,2.730337079,2.539325843,2.056179775,2,3.887640449,2.258426966,2.606741573,3.953488372,2.629213483,1.550561798,2,3.685393258,2.247191011,238.5,230.5,0.541685859,1.034707158
111,"F",21.34408602,1.827956989,2.150537634,4.892473118,2.630434783,1.795698925,2.148148148,5.397849462,2.827956989,1.559139785,3.756756757,2.376344086,1.559139785,1.76344086,4.021978022,2.129032258,238.5,247,0.479822835,0.965587045
112,"F",25.80898876,1.595505618,1.561797753,3.191011236,3.685393258,1.426966292,2.185185185,4.191011236,3.415730337,1.865168539,3.365853659,1.887640449,1.853932584,1.483146067,3.797752809,1.831460674,229.5,232.5,0.553546592,0.987096774
113,"F",26.98369565,2.522222222,3.077777778,2.711111111,2.377777778,2.7,2.615384615,3.744444444,1.788888889,2.5,4.048780488,3.844444444,1.677777778,2.588888889,3.303370787,2.288888889,241,208,0.433169423,1.158653846
114,"F",28.12087912,1.747252747,2.406593407,4.076923077,2.032967033,2.32967033,3.107142857,4.791208791,2.901098901,1.857142857,3,2.277777778,1.681318681,1.922222222,3.747252747,2.318681319,257.5,248,0.503125,1.038306452
115,"F",27.92631579,1.858695652,1.880434783,3.380434783,3.141304348,1.72826087,2.740740741,4.532608696,3.630434783,2.434782609,3.955555556,2.326086957,2.054347826,1.902173913,3.846153846,2.395604396,238.5,211,0.582765336,1.130331754
116,"F",30.51086957,2.725274725,2.813186813,1.769230769,2.164835165,2.747252747,2.652173913,3.197802198,1.604395604,3,3.909090909,4.164835165,1.813186813,2.577777778,2.835164835,2.555555556,233.5,205,0.615023474,1.13902439
117,"F",24.57471264,1.850574713,2.091954023,3.068965517,2.735632184,2.046511628,2.4,3.988505747,3.103448276,2.344827586,3.585365854,2.563218391,1.873563218,2.264367816,3.32183908,2.651162791,190,228.5,0.462650602,0.831509847
118,"F",30.07446809,2,2.784946237,2.77173913,2,2.804347826,2.730769231,3.795698925,2.064516129,2.505376344,3.596153846,2.677419355,2.365591398,2.554347826,3.301075269,2.193548387,238,240,0.535225545,0.991666667
119,"F",29.2,1.777777778,1.844444444,2.722222222,1.911111111,1.933333333,2.178571429,4.1,3.444444444,2.544444444,3.743589744,2.511111111,1.788888889,1.733333333,3.9,2.622222222,254.5,263.5,0.492606285,0.965844402
120,"F",28.58510638,2.591397849,2.698924731,2.989247312,2.150537634,2.559139785,2.62962963,4.054945055,2.279569892,2.537634409,3.795454545,2.440860215,3.096774194,2.387096774,3.129032258,3.053763441,246.5,230,0.578227848,1.07173913
121,"F",26.77659574,2.569892473,3.333333333,2.161290323,2.88172043,3.032258065,3.28,3.290322581,1.827956989,3.086021505,3.875,3.516129032,1.741935484,2.903225806,3.043010753,2.946236559,223.5,220.5,0.651493599,1.013605442
122,"F",18.31521739,1.866666667,1.808988764,4.777777778,3.988888889,1.688888889,2.392857143,5.466666667,3.533333333,1.477777778,3.139534884,2.055555556,1.811111111,1.655555556,3.888888889,2.157303371,211.5,228.5,0.530010173,0.925601751
123,"F",27.22988506,2.639534884,2.604651163,2.406976744,2.802325581,2.406976744,2.625,3.802325581,1.825581395,2.255813953,3.361702128,3.752941176,1.604651163,2.058823529,3.162790698,2.058139535,243.5,219,0.559547244,1.111872146
