"NovelID","AuthorID","Sex","Author","Nationality","Novel","WordCount","WordsPerSentence","pronoun","i","we","you","SheHe","they","ImpersonalPronouns","AuxiliaryVerb","adverb","negation","verb","adjective"
35,20,"male","Roddy Doyle","Irish","A Star Called Henry",116371,9.5,17.52,5.58,1.32,1.18,4.12,1.59,3.72,8.07,4.12,1.79,17.59,3.78
36,21,"male","Edward St Aubyn","British","Never Mind",40094,15.89,14.65,0.93,0.24,0.87,7.24,0.83,4.53,7.42,4.42,1.44,15.94,4.35
37,21,"male","Edward St Aubyn","British","A Clue to the Exit",40792,16.19,14.95,4.97,0.85,0.91,2.41,0.62,5.19,7.91,4.09,1.74,15.35,4.17
38,22,"male","Will Self","British","My Idea of Fun",102561,15.83,15.11,3.8,0.53,1.26,3.42,0.84,5.26,7.56,4.22,1.42,13.59,4.58
39,22,"male","Will Self","British","The Butt",99793,14.4,12.53,1.17,0.32,1.08,4.4,1.14,4.41,6.84,3.77,1.12,13.01,3.84
40,23,"male","Colum McCann","Irish-American","This Side of Brightness",82011,12.75,14.84,1.64,0.32,0.85,7.6,1.24,3.19,5,3.69,1.31,13.3,3.67
41,23,"male","Colum McCann","Irish-American","Let the Great World Spin",130596,10.39,16.91,3.51,0.69,0.97,5.92,1.25,4.54,7.16,4.54,1.72,16.32,3.63
42,24,"male","Stephen Kelman","British","Pigeon English",70927,8.81,21.23,6.05,1,2.72,3.35,1.74,6.36,10.44,6.56,2.61,21.25,4.35
43,25,"male","Adam Foulds","British","The Quickening Maze",59773,10.48,16.72,1.62,0.32,1.46,7.91,1.13,4.26,7.69,4.3,1.69,16.08,4.27
44,26,"male","Sunjeev Sahota","British","The Year of the Runaways",149020,9.47,16.83,1.68,0.45,1.65,7.91,1.19,3.94,7.91,4.51,1.73,18.27,4.17
45,27,"male","G. K. Chesterton","British","The Ball and The Cross",80010,17.45,14.11,1.67,0.71,1.54,3.61,1.06,5.52,7.3,4.29,1.35,14.64,5.27
46,27,"male","G. K. Chesterton","British","The Flying Inn",88989,19.92,13.24,1.52,0.51,1.29,3.69,0.7,5.53,7.62,4.59,1.58,14.59,5.12
47,28,"male","Walter de la Mare","British","Memoirs of a Midget",151819,15.77,16.27,6.52,0.52,0.97,3.35,0.47,4.42,7.12,4.81,1.63,13.69,4.9
48,28,"male","Walter de la Mare","British","The Return",81123,14.11,16.45,3.28,0.62,2.06,4.94,0.42,5.13,7.64,5.89,1.92,16.15,4.47
49,29,"male","Charles Dickens","British","A Tale of Two Cities",137143,17.61,14.99,2.38,0.28,1.35,4.82,0.96,5.18,7.45,3.94,1.61,14.53,4.39
50,29,"male","Charles Dickens","British","Dombey and Son",358418,19.97,15.11,2.29,0.24,1.34,5.68,0.61,4.95,7.28,4.44,1.69,14.84,4.5
51,30,"male","Ford Madox Ford","British","The Fifth Queen Crowned",60665,16.41,17.92,2.53,0.24,1.9,7.08,0.78,5.39,8.14,4.45,1.34,15.57,3.75
52,30,"male","Ford Madox Ford","British","The Good Soldier",76206,18.58,17.34,2.86,0.31,0.68,6.38,0.8,6.3,9.18,4.55,1.79,16.49,4.22
53,31,"male","Thomas Hardy","British","Far from the Madding Crowd",138072,15.58,13.7,2.34,0.24,1.37,4.46,0.65,4.64,7.93,4.55,1.9,15.24,4.62
54,31,"male","Thomas Hardy","British","The Mayor of Casterbridge",117679,17.77,15.02,2.14,0.28,1.17,5.65,0.8,4.97,7.95,4.55,1.83,15.39,4.7
55,32,"male","Rudyard Kipling","British","Captains Courageous",53954,13.71,12.95,1.83,0.78,1.52,4.12,1.12,3.57,6.32,3.63,1.64,14.38,4.15
56,32,"male","Rudyard Kipling","British","Kim",107527,12.89,13.64,2.85,0.57,1.43,3.74,0.97,4.07,6.81,3.72,1.48,14.33,4.4
57,33,"male","George Meredith","British","Beauchamp's Career",193780,15.81,15.76,2.13,0.65,1.38,6.52,0.94,4.13,7.9,2.93,1.72,14.18,3.74
58,33,"male","George Meredith","British","Rhoda Fleming",152777,13.69,17.77,3.4,0.31,2.15,6.68,0.7,4.53,8.7,3.46,2.06,16.57,3.74
59,34,"male","John Henry Newman","British","Callista",95354,19.83,15.14,1.75,0.51,1.48,4.9,1.34,5.18,8.5,3.9,1.76,14.78,4.43
60,34,"male","John Henry Newman","British","Loss and Gain",107300,19.57,15.95,2.41,0.74,1.63,4.05,1.17,5.94,9.4,4.55,2.45,17.15,4.44
61,35,"male","Thomas Love Peacock","British","Crotchet Castle",37220,19.71,12.33,2.11,0.42,1.2,3.3,0.92,4.38,6.81,3.25,1.54,11.81,4.37
62,35,"male","Thomas Love Peacock","British","Maid Marian",36040,24.01,12.92,2.04,0.54,1.61,3.85,1.06,3.83,6.29,2.94,1.38,12.11,3.87
63,36,"male","James Joyce","Irish","A Portrait of the Artist as a Young Man",84951,15.86,13.49,1.09,0.36,1.09,5.79,1.08,4.08,6.27,3.09,1.11,13.57,4.18
64,36,"male","James Joyce","Irish","Ulysses",265556,10.63,12.69,1.88,0.39,1.03,4.66,0.94,3.77,5.08,3.17,1.16,11.83,3.86
65,37,"male","Thomas Moore","Irish","The Epicurean",54764,32.27,12.93,3.61,0.52,0.17,2.32,0.68,5.62,4.92,3.91,0.79,10.02,4.97
66,38,"male","John Galt","Scottish","Annals of the Parish",64578,45.41,13.69,3.14,0.69,0.14,3.44,1.06,5.21,7.38,3.54,1.26,13.67,4.36
67,38,"male","John Galt","Scottish","Ringan Gilhaize",148782,43.23,13.83,2.59,0.85,0.53,3.89,1.4,4.57,6.68,3.4,1.16,12.6,3.72
68,39,"male","James Hogg","Scottish","The Brownie of Bodsbeck",49427,28.16,15.58,1.81,0.49,1.55,4.98,1.54,5.21,6.68,3.73,1.38,12.62,4.21
69,40,"male","Walter Scott","Scottish","The Black Dwarf",58373,26.58,14.97,2.75,0.6,1.83,4.13,0.95,4.71,6.96,3.49,1.27,12.44,4.4
70,40,"male","Walter Scott","Scottish","Waverley",191027,29.69,12.57,1.5,0.36,0.96,4.26,0.96,4.53,6.35,3.44,1.15,11.12,4.55
71,41,"male","William Sharp","Scottish","Green Fire: A Romance",51247,18.68,13.95,1.16,0.34,0.99,5.05,0.73,5.68,7.38,4.79,1.58,13.82,4.79
72,41,"male","William Sharp","Scottish","Pharais",35524,20.51,11.13,0.79,0.21,0.56,4.99,0.62,3.95,5.37,4.17,1.36,12.08,5.01
73,42,"male","Robert Louis Stevenson","Scottish","Catriona",101036,18.25,19.02,6.91,0.82,2.18,3.41,0.56,5.14,8.89,4.58,1.45,16.93,4.31
74,42,"male","Robert Louis Stevenson","Scottish","Kidnapped",80554,21.18,16.54,5.64,0.91,1.42,3.15,0.6,4.81,7.75,4.58,1.33,15.83,4.74
75,43,"male","Bernard Malamud","American","The Natural",75556,14.44,15.15,1.44,0.2,1.03,7.29,0.98,4.2,6.75,3.93,1.61,15.62,4.11
76,43,"male","Bernard Malamud","American","The Fixer",103942,14.15,15.84,2.93,0.36,1.98,5.31,0.95,4.29,7.99,3.79,1.87,16.24,4.21
77,44,"male","Norman Mailer","American","The Deer Park",129672,13.63,19.78,4.89,0.47,2.27,6.39,0.67,5.08,9.99,4.74,2.06,20.49,3.93
78,44,"male","Norman Mailer","American","Why Are We in Vietnam?",48632,28.24,10.09,0.74,0.33,1.33,2.55,1.37,3.74,5.85,4.06,1.41,12.57,4.67
79,45,"male","Peter Matthiessen","American","At Play in the Fields of the Lord",130284,15.49,14.57,1.25,0.44,1.29,6.54,1.1,3.94,6.59,4.21,1.68,14.33,4.3
80,46,"male","William Kennedy","American","Billy Phelan's Greatest Game",82268,11.38,14.43,2.05,0.37,1.99,4.61,0.81,4.58,6.53,4.24,1.98,16,3.38
81,47,"male","E. L. Doctorow","American","Billy Bathgate",122013,26.21,16.51,4.95,0.55,1,3.74,1.03,5.23,7.44,4.1,1.59,15.63,4.03
82,48,"male","John Updike","American","Couples",164931,11.97,15.28,2.23,0.53,1.7,5.99,0.89,3.94,7.94,3.82,1.73,15.98,4.36
83,48,"male","John Updike","American","Marry Me",87545,10.97,18.56,3.15,0.53,2.36,7.11,0.92,4.47,9.15,4.25,2.26,18.73,4.13
84,49,"male","Philip Roth","American","Portnoy's Complaint",79655,15.07,17.25,5.65,0.66,1.77,3.05,0.69,5.41,7.8,5.1,1.93,15.03,3.96
85,50,"male","Cormac McCarthy","American","Child of God",35981,11.48,14.25,1.17,0.28,1.29,6.81,1.12,3.57,5.04,4.05,1.24,14.42,3.13
86,49,"male","Philip Roth","American","The Professor of Desire",79716,16.95,17.6,5.5,0.68,1.65,3.6,0.55,5.61,8.2,5.71,2.06,15.63,4.16
87,50,"male","Cormac McCarthy","American","Blood Meridian",116586,15.12,12.12,0.57,0.28,0.68,4.61,2.72,3.26,4.65,3.11,1.2,12.38,3.07
88,51,"male","Don DeLillo","American","Americana",125973,11.6,15.6,4.73,1.17,1.26,2.98,0.69,4.76,7.57,4.02,1.44,16.13,4.22
89,52,"male","Larry McMurtry","American","Terms of Endearment",143253,12.6,18.15,3.12,0.31,2.34,6.96,0.67,4.74,10.14,5.54,2.61,20.89,4.43
90,51,"male","Don DeLillo","American","White Noise",102087,10.33,15.37,3.78,1.23,1.43,2.89,0.9,5.13,7.4,3.81,1.56,16.43,4.13
91,52,"male","Larry McMurtry","American","Lonesome Dove",365661,13.01,16.06,1.49,0.43,1.2,7.17,1.26,4.49,9.89,5.26,2.41,21.05,4.26
92,53,"male","Pete Dexter","American","God's Pocket",100145,12.36,17.65,1.17,0.21,1.32,8.46,1.16,5.3,8.28,4.66,2.12,20.57,3.11
93,53,"male","Pete Dexter","American","The Paperboy",96559,14.4,17.8,4.14,0.69,0.91,6.41,0.74,4.9,7.27,4.05,1.82,18.33,3.73
94,54,"male","Richard Ford","American","A Piece of My Heart",100191,15.82,14.88,1.58,0.16,1.21,7.14,0.74,4.03,6.43,3.98,1.71,16.94,3.21
95,54,"male","Richard Ford","American","Independence Day",186164,17.26,14.46,4.59,0.72,1.25,2.83,0.64,4.42,7.34,5.36,1.8,15.29,5.05
96,55,"male","Robert Olen Butler","American","The Hot Country",109331,13.51,17.86,6.86,0.78,0.83,4.38,0.7,4.29,7.41,4.66,1.51,16,3.84
97,55,"male","Robert Olen Butler","American","The Star of Istanbul",117439,13.36,16.96,6.47,0.96,0.7,4.23,0.58,3.99,7.23,4.26,1.33,15.56,4.06
98,56,"male","Denis Johnson","American","Angels",65537,12.64,16.1,1.92,0.33,1.45,6.22,1.17,4.99,6.93,4.36,1.75,16.71,3.75
99,57,"male","Richard Russo","American","Mohawk",105416,12.76,15.05,1.44,0.21,1.14,6.73,0.89,4.62,8.67,5.35,2.4,17.24,4.56
100,57,"male","Richard Russo","American","The Risk Pool",193897,14.57,17.68,5.69,0.69,1.1,4.75,0.57,4.87,8.65,5.47,2.07,17.89,4.76
101,56,"male","Denis Johnson","American","Resuscitation of a Hanged Man",76082,11.67,16.49,2.21,0.3,1.71,6.21,0.87,5.18,7.82,4.49,1.85,17.64,3.86
102,58,"male","Richard Powers","American","Galatea 2.2",115124,8.99,16.58,5.03,1.16,1.37,2.95,0.62,5.42,7.21,4.08,1.96,16.08,4.17
103,58,"male","Richard Powers","American","The Time of Our Singing",269674,10.2,17,3.45,1.37,1.2,5.31,1.12,4.54,6.82,4.51,2.01,15.6,4.22
104,59,"male","Jonathan Franzen","American","Strong Motion",181303,12.82,15.5,2.26,0.36,1.91,5.51,0.77,4.68,7.81,4.35,1.74,15.98,4.15
105,59,"male","Jonathan Franzen","American","The Corrections",199479,14.04,14.05,1.49,0.32,1.32,6,0.53,4.37,7.51,4.02,1.61,15.24,4.24
106,60,"male","Jeffrey Eugenides","American","The Virgin Suicides",66135,17.66,12.37,0.45,2.4,0.34,4.1,1.58,3.5,5.2,3.9,1.42,13.63,4.14
107,60,"male","Jeffrey Eugenides","American","Middlesex",196481,11.24,14.31,3.61,0.63,0.95,4.07,0.85,4.2,6.86,4.12,1.56,14.91,4.05
108,61,"male","Michael Chabon","American","The Amazing Adventures of Kavalier & Clay",222588,14.99,13.07,1.17,0.22,0.91,5.56,0.89,4.31,6.45,3.73,1.19,13.86,4.1
109,61,"male","Michael Chabon","American","The Final Solution",29257,17.58,11.64,0.76,0.17,0.53,5.65,0.66,3.87,5.4,3.5,1.11,11.54,4.25
110,62,"male","Adam Johnson","American","The Orphan Master's Son",169717,11.74,16.59,2.49,0.83,1.82,5.24,1.38,4.82,8.3,4.29,1.72,17.99,3.26
111,63,"male","Junot Díaz","American-Dominican","The Brief Wondrous Life of Oscar Wao",93787,15.71,16.57,2.4,0.41,1.24,6.91,0.79,4.81,8.19,4.65,2.22,16.17,4.07
112,64,"male","Colson Whitehead","American","John Henry Days",154425,14.42,13.24,0.83,0.23,0.75,5.21,1.49,4.71,6.47,3.69,1.42,14.07,4.13
113,64,"male","Colson Whitehead","American","Sag Harbor",100783,14.21,15.04,3.61,1.73,1.13,2.48,1.13,4.95,6.55,3.92,1.63,14.44,4.16
114,65,"male","Anthony Doerr","American","About Grace",121630,12.82,12.6,0.88,0.18,0.75,6.78,1.02,2.95,5.46,3.34,1.03,13.04,3.73
115,65,"male","Anthony Doerr","American","All the Light We Cannot See",129134,11.95,11.7,0.62,0.36,0.78,5.22,1.25,3.43,5.36,3.45,1.16,12.05,3.88
116,66,"male","Phil Klay","American","Redeployment",77832,10.65,18.35,5.73,1.13,1.62,3.82,0.92,5.13,8.47,4.79,2.22,19.12,4.04
117,67,"male","Sherwood Anderson","American","Poor White",108054,18.51,12.98,0.96,0.2,0.53,6.66,0.97,3.65,6.97,3.18,1.13,16.26,3.64
118,67,"male","Sherwood Anderson","American","Windy McPherson's Son",110167,20.03,13.15,1.2,0.23,0.66,6.62,1.04,3.39,5.47,2.63,0.87,14.76,3.56
119,68,"male","William Wells Brown","American","Clotel; or, The President's Daughter",57257,21.66,13.21,1.51,0.52,1.28,4.33,1.27,4.31,7.61,3.49,1.38,14.09,4.7
120,69,"male","George Washington Cable","American","Bonaventure: A Prose Pastoral",82013,16.06,12.64,1.4,0.21,1.15,4.8,0.99,4.08,6.01,4.57,1.67,13.67,4.77
121,69,"male","George Washington Cable","American","The Grandissimes",114415,16.89,13.08,1.57,0.39,1.26,4.71,0.88,4.27,6.37,3.53,1.48,13.55,4.31
122,70,"male","Charles W. Chesnutt","American","The Colonel's Dream",85190,19.62,12.61,1.69,0.35,1.15,4.54,0.85,4.02,8.29,3.6,1.65,15.1,4.45
123,70,"male","Charles W. Chesnutt","American","The House Behind the Cedars",70019,20.05,13.58,1.55,0.29,1.06,6.24,0.59,3.85,8.1,3.58,1.61,14.57,4.74
124,71,"male","James Fenimore Cooper","American","The Headsman: The Abbaye des Vignerons ",157795,28.02,12.69,1.22,0.79,1.22,3.13,0.88,5.45,6.87,3.51,1.17,11.65,5.19
125,71,"male","James Fenimore Cooper","American","The Pilot: A Tale of the Sea",158812,27.56,13.38,1.76,0.77,1.5,3.77,1.06,4.52,6.81,3.31,1.19,12.28,4.48
126,72,"male","Stephen Crane","American","Active Service",78483,13.37,15.5,1.75,0.27,1.42,5.87,1.15,5.04,7.94,4.19,1.75,15.68,3.93
127,72,"male","Stephen Crane","American","The Red Badge of Courage",46534,12.89,13.74,0.77,0.31,0.29,6.53,1.74,4.1,6.6,3.21,1.06,13.99,3.96
128,73,"male","Theodore Dreiser","American","Sister Carrie",157491,12.3,16.66,1.38,0.24,1.33,7.68,0.63,5.38,8.41,4.92,2.07,17.82,4.49
129,73,"male","Theodore Dreiser","American","The ""Genius""",306958,14.19,17.71,1.71,0.2,1.49,7.85,0.73,5.72,9.82,4.87,2.1,17.73,4.73
130,74,"male","W. E. B. Du Bois","American","The Quest of the Silver Fleece",109763,13.24,14.25,1.54,0.42,1.12,6.45,0.83,3.89,6.74,4.05,1.66,15.41,4.53
131,75,"male","Nathaniel Hawthorne","American","The House of the Seven Gables",104205,23.06,12.23,1.04,0.43,0.71,3.96,0.78,5.32,6.84,4.58,1.38,11.79,5.6
132,75,"male","Nathaniel Hawthorne","American","The Scarlet Letter",84287,24.12,13.03,1.35,0.29,0.8,4.21,0.82,5.54,6.51,4.35,1.31,11.32,5.22
133,76,"male","Ernest Hemingway","American","A Farewell to Arms",89043,8.61,17.46,5.51,1.5,2.47,2.53,1.24,4.21,10.05,4.79,2.47,21.13,3.55
134,76,"male","Ernest Hemingway","American","The Old Man and the Sea",26675,13.86,16.07,2.35,0.26,0.87,7.17,1.11,4.31,8.26,4.79,1.66,17.53,4.53
135,77,"male","William Dean Howells","American","A Modern Instance",155337,16.55,19.18,2.91,0.38,1.93,7.51,1,5.44,8.26,4.35,2.17,17.47,3.99
136,77,"male","William Dean Howells","American","Their Wedding Journey",74153,27.29,13,1.08,0.66,0.71,2.88,2.44,5.23,6.26,3.93,1.41,12.28,4.86
137,78,"male","Sinclair Lewis","American","Dodsworth",138714,17.11,14.9,2.46,0.46,1.59,4.99,1.03,4.35,8.22,4.88,1.82,15.34,4.93
138,78,"male","Sinclair Lewis","American","Main Street",169733,14.43,14.68,2.38,0.49,1.47,5.11,1.13,4.1,7.89,3.86,1.87,15.35,4.42
139,79,"male","Jack London","American","Martin Eden",140443,15.44,16.92,1.78,0.13,1.31,7.73,0.91,5.05,8.08,3.72,1.88,15.48,4.13
140,79,"male","Jack London","American","Michael, Brother of Jerry",96706,16.5,13.07,1.55,0.26,1.09,5.19,0.85,4.11,6.52,3.6,1.58,12.89,4.06
141,80,"male","Herman Melville","American","Moby-Dick; or, The Whale",212662,21.98,11.93,1.62,0.43,1.03,2.85,0.84,5.15,5.74,4.8,1.3,10.86,4.86
142,80,"male","Herman Melville","American","The Confidence-Man: His Masquerade",94624,19.26,13.89,2.64,0.25,1.98,2.94,0.51,5.57,7.28,5.05,2.19,13.14,4.9
143,81,"male","Frank Norris","American","The Octopus: A Story of California",198267,15.17,12.76,1.38,0.42,1.04,5.04,0.76,4.11,6.51,3.87,1.42,13.18,4.27
144,81,"male","Frank Norris","American","The Pit: A Story of Chicago",125955,14.4,15.15,2.37,0.42,1.44,5.57,0.72,4.61,7.25,4.43,1.76,15.03,4.36
145,82,"male","Edgar Allan Poe","American","The Narrative of Arthur Gordon Pym of Nantucket",71022,28.56,11.94,2.41,2.15,0.04,2.18,0.79,4.38,6.58,4.44,1.3,11.82,5.16
146,83,"male","Upton Sinclair","American","The Jungle",151354,22.77,13.53,0.58,0.12,0.57,5.3,1.84,5.11,8.49,4.48,1.46,15.92,3.83
147,83,"male","Upton Sinclair","American","They Call Me Carpenter",58223,15.51,16.16,4.12,0.86,1.83,3.36,1.15,4.85,7.89,3.75,1.56,16.65,3.33
148,84,"male","Jean Toomer","American","Cane",41602,8.83,15.78,2.68,0.27,1.41,5.36,1.38,4.67,6.97,3.33,1.92,15.47,3.92
149,85,"male","Mark Twain","American","Adventures of Huckleberry Finn",112201,19.22,17.27,4.38,1.12,1.56,3.63,1.32,5.26,7.79,5.63,2.66,17.5,3.47
150,85,"male","Mark Twain","American","The Adventures of Tom Sawyer",71210,14.61,15.03,1.88,0.38,1.42,4.65,1.38,5.31,7.82,5.22,2.04,16.33,3.96
151,86,"male","Frank J. Webb","American","The Garies and Their Friends",129952,20.33,16.76,3.01,0.53,2.02,5.51,1.14,4.54,8.6,4.32,1.83,16.03,4.3
152,87,"female","Barbara Pym","British","Quartet in Autumn",56755,17.97,14.11,0.86,0.3,0.81,5.23,0.97,5.93,10.09,5.34,2.24,18.91,4.29
153,88,"female","Penelope Fitzgerald","British","The Bookshop",35779,15.4,13.77,1.61,0.28,1.41,4.16,1,5.28,9.6,4.43,2.11,17.62,4.69
154,88,"female","Penelope Fitzgerald","British","Offshore",40496,13.87,14.72,1.9,0.42,1.7,4.35,1.21,5.12,9.39,5.03,2.43,18.03,4.11
155,89,"female","Muriel Spark","Scottish","Robinson",51602,13.68,16.53,6.03,0.82,1.2,3.17,0.52,4.78,8.27,3.92,1.59,16.85,3.91
156,89,"female","Muriel Spark","Scottish","The Prime of Miss Jean Brodie",39760,17.48,13.44,1.48,0.29,1,4.62,1.38,4.67,8.09,3.73,1.43,17.58,5.39
157,90,"female","Doris Lessing","British-Zimbabwean","The Golden Notebook",259170,14.78,17.73,4.3,0.78,1.4,4.97,0.73,5.53,9.16,4.87,2.01,18.49,4.51
158,90,"female","Doris Lessing","British-Zimbabwean","The Summer Before the Dark",168874,16.43,15.74,0.95,0.25,0.68,6.57,1.36,5.89,9.52,4.57,1.92,17.97,4.38
159,91,"female","Bernice Rubens","Welsh","Madame Sousatzka",66056,11.24,17.52,1.49,0.33,1.25,9.42,0.93,4.08,7.85,3.94,1.65,17.55,3.69
160,92,"female","Nina Bawden","British","Change Here for Babylon",64509,13.24,20.33,5.6,0.72,1.66,6.97,0.51,4.86,10.1,4.21,2.22,20.22,4.65
161,92,"female","Nina Bawden","British","Just Like A Lady",91903,12.13,18,1.86,0.25,1.75,9.12,0.72,4.27,8.81,3.69,2.05,18.04,4.43
162,93,"female","Ruth Prawer Jhabvala","British-American","The Householder",58942,14.31,16.88,1.56,0.41,1.16,8.11,1.15,4.48,8.04,5.35,1.57,18.29,3.99
163,94,"female","Fay Weldon","British","The Fat Woman's Joke",45971,9.63,20.83,5.22,0.44,4.45,4.23,0.69,5.79,11.3,5.56,3.08,20.82,4.81
164,94,"female","Fay Weldon","British","Female Friends",80116,12.16,14.85,1.9,0.4,1.49,5.66,0.95,4.42,8.61,4.49,2.28,16.23,4.55
165,95,"female","Beryl Bainbridge","British","Another Part of the Wood",57039,12.49,15.25,1.27,0.18,0.98,8.67,0.69,3.43,7.49,4.02,1.96,16.92,3.8
166,96,"female","Penelope Lively","British","The Road to Lichfield",78789,12.62,16.22,2.98,0.69,1.83,4.3,0.74,5.65,9.02,5.53,2.26,18.55,3.89
167,96,"female","Penelope Lively","British","According to Mark",73976,12.29,14.57,1.77,0.33,1.26,5.1,0.6,5.46,8.7,5.28,1.9,16.83,4.25
168,97,"female","A. S. Byatt","British","Possession",194728,17.04,14.8,3.01,0.71,1.34,3.91,0.88,4.93,7.89,3.98,1.85,15.26,4.43
